Fortune  Rank,Company Name,Ticker Symbol,Fortune Rank,Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
295,Expedia Group,EXPE,317,"$10,060 ",14.70%,$378.00 ,34.10%,"$18,516 ","$16,764 ","22,615",Mark D. Okerstrom,"President, Chief Executive Officer & Director",Retailing,Internet Services and Retailing,"Bellevue, Wash.",http://www.expediagroup.com,4,http://fortune.com/fortune500/expedia-group/
296,Republic Services,RSG,299,"$10,042 ",7.00%,"$1,278.40 ",108.70%,"$21,147 ","$21,832 ","35,000",Donald W. Slager,"President, Chief Executive Officer & Director",Business Services,Waste Management,Phoenix,http://www.republicservices.com,9,http://fortune.com/fortune500/republic-services/
297,Jacobs Engineering Group,JEC,259,"$10,023 ",-8.60%,$293.70 ,39.60%,"$7,381 ","$8,380 ","49,750",Steven J. Demetriou,"Chairman, President & Chief Executive Officer",Engineering & Construction,"Engineering, Construction",Dallas,http://www.jacobs.com,18,http://fortune.com/fortune500/jacobs-engineering-group/
298,Sonic Automotive,SAH,287,"$9,867 ",1.40%,$93.00 ,-0.20%,"$3,819 ",$804 ,"9,750",B. Scott Smith,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Charlotte, N.C.",http://www.sonicautomotive.com,19,http://fortune.com/fortune500/sonic-automotive/
299,Ally Financial,ALLY,286,"$9,866 ",0.30%,$929.00 ,-12.90%,"$167,148 ","$11,767 ","7,900",Jeffrey J. Brown,Chairman & Chief Executive Officer,Financials,Diversified Financials,Detroit,http://www.ally.com,11,http://fortune.com/fortune500/ally-financial/
300,LKQ,LKQ,304,"$9,848 ",8.40%,$533.70 ,15.00%,"$9,367 ","$11,750 ","43,000",Dominick P. Zarcone,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Diversified,Chicago,http://www.lkqcorp.com,5,http://fortune.com/fortune500/lkq/
301,BorgWarner,BWA,305,"$9,799 ",8.00%,$439.90 ,271.20%,"$9,788 ","$10,586 ","29,000",James R. Verrier,"President, Chief Executive Officer & Director",Motor Vehicles & Parts,Motor Vehicles and Parts,"Auburn Hills, Mich.",http://www.borgwarner.com,12,http://fortune.com/fortune500/borgwarner/
302,Fidelity National Financial,FNF,293,"$9,769 ",2.30%,$771.00 ,18.60%,"$9,151 ","$10,983 ","24,525",Raymond R. Quirk,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),"Jacksonville, Fla.",http://www.fnf.com,11,http://fortune.com/fortune500/fidelity-national-financial/
303,SunTrust Banks,STI,303,"$9,741 ",6.30%,"$2,273.00 ",21.00%,"$205,962 ","$31,863 ","23,785",William H. Rogers Jr.,Chairman & Chief Executive Officer,Financials,Commercial Banks,Atlanta,http://www.suntrust.com,24,http://fortune.com/fortune500/suntrust-banks/
304,IQVIA Holdings,,390,"$9,739 ",41.60%,"$1,309.00 ",1038.30%,"$22,742 ","$20,433 ","55,000",Ari Bousbib,"Chairman, President & Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,"Durham, N.C.",www.iqvia.com,5,http://fortune.com/fortune500/iqvia-holdings/
305,Reliance Steel & Aluminum,RS,320,"$9,721 ",12.90%,$613.40 ,101.60%,"$7,751 ","$6,244 ","14,900",Gregg J. Mollins,"President, Chief Executive Officer & Director",Materials,Metals,Los Angeles,http://www.rsac.com,12,http://fortune.com/fortune500/reliance-steel-aluminum/
306,Nvidia,NVDA,387,"$9,714 ",40.60%,"$3,047.00 ",82.90%,"$11,241 ","$140,112 ","11,528",Jen-Hsun Huang,"President, Chief Executive Officer & Director",Technology,Semiconductors and Other Electronic Components,"Santa Clara, Calif.",http://www.nvidia.com,2,http://fortune.com/fortune500/nvidia/
307,Voya Financial,VOYA,266,"$9,660 ",-10.40%,"($2,992.00)",,"$222,532 ","$8,686 ","6,300",Rodney O. Martin Jr.,Chairman & Chief Executive Officer,Financials,Diversified Financials,New York City,http://www.voya.com,4,http://fortune.com/fortune500/voya-financial/
308,CenterPoint Energy,CNP,362,"$9,614 ",27.70%,"$1,792.00 ",314.80%,"$22,736 ","$11,822 ","7,977",Scott M. Prochazka,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,Houston,http://www.centerpointenergy.com,24,http://fortune.com/fortune500/centerpoint-energy/
309,eBay,EBAY,310,"$9,567 ",6.50%,"($1,016.00)",-114.00%,"$25,981 ","$40,726 ","14,100",Devin N. Wenig,"President, Chief Executive Officer & Director",Technology,Internet Services and Retailing,"San Jose, Calif.",http://www.ebay.com,13,http://fortune.com/fortune500/ebay/
310,Eastman Chemical,EMN,309,"$9,549 ",6.00%,"$1,384.00 ",62.10%,"$15,999 ","$15,073 ","14,000",Mark J. Costa,Chairman & Chief Executive Officer,Chemicals,Chemicals,"Kingsport, Tenn.",http://www.eastman.com,24,http://fortune.com/fortune500/eastman-chemical/
311,American Family Insurance Group,,315,"$9,545 ",8.10%,$155.60 ,-52.20%,"$24,233 ",,"11,307",Jack C. Salzwedel,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),"Madison, Wis.",http://www.amfam.com,22,http://fortune.com/fortune500/american-family-insurance-group/
312,Steel Dynamics,STLD,347,"$9,539 ",22.70%,$812.70 ,112.70%,"$6,856 ","$10,444 ","7,635",Mark D. Millett,"President, Chief Executive Officer & Director",Materials,Metals,"Fort Wayne, Ind.",http://www.steeldynamics.com,9,http://fortune.com/fortune500/steel-dynamics/
313,Pacific Life,,302,"$9,510 ",3.70%,"$1,365.00 ",65.70%,"$157,877 ",,"3,578",James T. Morris,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)","Newport Beach, Calif.",http://www.pacificlife.com,22,http://fortune.com/fortune500/pacific-life/
314,Chesapeake Energy,CHK,343,"$9,496 ",20.60%,$949.00 ,,"$12,425 ","$2,746 ","3,200",Robert D. Lawler,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production",Oklahoma City,http://www.chk.com,13,http://fortune.com/fortune500/chesapeake-energy/
315,Mohawk Industries,MHK,311,"$9,491 ",5.90%,$971.60 ,4.40%,"$12,095 ","$17,283 ","38,800",Jeffrey S. Lorberbaum,Chairman & Chief Executive Officer,Household Products,"Home Equipment, Furnishings","Calhoun, Ga.",http://www.mohawkind.com,19,http://fortune.com/fortune500/mohawk-industries/
316,Quanta Services,PWR,355,"$9,467 ",23.70%,$315.00 ,58.80%,"$6,480 ","$5,281 ","32,800",Earl C. Austin Jr.,"President, Chief Executive Officer & Director",Engineering & Construction,"Engineering, Construction",Houston,http://www.quantaservices.com,6,http://fortune.com/fortune500/quanta-services/
317,Advance Auto Parts,AAP,292,"$9,374 ",-2.00%,$475.50 ,3.50%,"$8,482 ","$8,770 ","55,500",Thomas R. Greco,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"Roanoke, Va.",http://www.advanceautoparts.com,16,http://fortune.com/fortune500/advance-auto-parts/
318,Owens & Minor,OMI,288,"$9,318 ",-4.20%,$72.80 ,-33.10%,"$3,376 ",$961 ,"8,600",P. Cody Phipps,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Health Care,"Mechanicsville, Va.",http://www.owens-minor.com,24,http://fortune.com/fortune500/owens-minor/
319,United Natural Foods,UNFI,325,"$9,275 ",9.50%,$130.20 ,3.50%,"$2,887 ","$2,165 ","9,700",Steven L. Spinner,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Food and Grocery,"Providence, R.I.",http://www.unfi.com,6,http://fortune.com/fortune500/united-natural-foods/
320,Tenneco,TEN,322,"$9,274 ",7.80%,$207.00 ,-41.90%,"$4,842 ","$2,822 ","32,000",Brian J. Kesseler,Chief Executive Officer & Director,Motor Vehicles & Parts,Motor Vehicles and Parts,"Lake Forest, Ill.",http://www.tenneco.com,24,http://fortune.com/fortune500/tenneco/
321,Conagra Brands,CAG,197,"$9,235 ",-34.70%,$639.30 ,,"$10,096 ","$14,776 ","12,600",Sean M. Connolly,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,Chicago,http://www.conagrabrands.com,24,http://fortune.com/fortune500/conagra-brands/
322,GameStop,GME,321,"$9,225 ",7.20%,$34.70 ,-90.20%,"$5,042 ","$1,279 ","39,500",Shane S. Kim,Interim Chief Executive Officer,Retailing,Specialty Retailers: Other,"Grapevine, Texas",http://www.gamestop.com,12,http://fortune.com/fortune500/gamestop/
323,Hormel Foods,HRL,295,"$9,168 ",-3.70%,$846.70 ,-4.90%,"$6,976 ","$18,174 ","20,200",James P. Snee,"Chairman, President & Chief Executive Officer","Food, Beverages & Tobacco",Food Consumer Products,"Austin, Minn.",http://www.hormelfoods.com,24,http://fortune.com/fortune500/hormel-foods/
324,Hilton Worldwide Holdings,HLT,241,"$9,140 ",-21.60%,"$1,259.00 ",261.80%,"$14,308 ","$24,957 ","163,000",Christopher J. Nassetta,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","McLean, Va.",http://www.hiltonworldwide.com,15,http://fortune.com/fortune500/hilton-worldwide-holdings/
325,Frontier Communications,FTR,313,"$9,128 ",2.60%,"($1,804.00)",,"$24,884 ",$582 ,"22,736",Daniel J. McCarthy,"President, Chief Executive Officer & Director",Telecommunications,Telecommunications,"Norwalk, Conn.",http://www.frontier.com,5,http://fortune.com/fortune500/frontier-communications/
326,Fidelity National Information Services,FIS,301,"$9,123 ",-1.30%,"$1,319.00 ",132.20%,"$24,517 ","$31,893 ","53,000",Gary A. Norcross,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Jacksonville, Fla.",http://www.fisglobal.com,9,http://fortune.com/fortune500/fidelity-national-information-services/
327,Public Service Enterprise Group,PEG,306,"$9,084 ",0.30%,"$1,574.00 ",77.50%,"$42,716 ","$25,359 ","12,945",Ralph Izzo,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Newark, N.J.",http://www.pseg.com,24,http://fortune.com/fortune500/public-service-enterprise-group/
328,Boston Scientific,BSX,327,"$9,048 ",7.90%,$104.00 ,-70.00%,"$19,042 ","$37,688 ","29,000",Michael F. Mahoney,"Chairman, President & Chief Executive Officer",Health Care,Medical Products and Equipment,"Marlborough, Mass.",http://www.bostonscientific.com,15,http://fortune.com/fortune500/boston-scientific/
329,O’Reilly Automotive,ORLY,323,"$8,978 ",4.50%,"$1,133.80 ",9.30%,"$7,572 ","$20,607 ","60,365",Gregory D. Johnson,"President, Chief Executive Officer & Director",Retailing,Specialty Retailers: Other,"Springfield, Mo.",http://www.oreillyauto.com,9,http://fortune.com/fortune500/oreilly-automotive/
330,Charles Schwab,SCHW,357,"$8,960 ",17.20%,"$2,354.00 ",24.60%,"$243,274 ","$70,313 ","17,600",Walter W. Bettinger II,"President, Chief Executive Officer & Director",Financials,Securities,San Francisco,http://www.aboutschwab.com,20,http://fortune.com/fortune500/charles-schwab/
331,Global Partners,GLP,334,"$8,921 ",8.30%,$58.80 ,,"$2,320 ",$522 ,"2,000",Eric Slifka,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Diversified,"Waltham, Mass.",http://www.globalp.com,12,http://fortune.com/fortune500/global-partners/
332,PVH,PVH,335,"$8,915 ",8.70%,$537.80 ,-2.00%,"$11,886 ","$11,649 ","28,050",Emanuel Chirico,Chairman & Chief Executive Officer,Apparel,Apparel,New York City,http://www.pvh.com,8,http://fortune.com/fortune500/pvh/
333,Avis Budget Group,CAR,319,"$8,848 ",2.20%,$361.00 ,121.50%,"$17,699 ","$3,792 ","26,300",Larry D. De Shon,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Parsippany, N.J.",http://www.avisbudgetgroup.com,21,http://fortune.com/fortune500/avis-budget-group/
334,Targa Resources,TRGP,402,"$8,815 ",31.70%,$54.00 ,,"$14,389 ","$9,629 ","2,130",Joe Bob Perkins,Chairman & Chief Executive Officer,Energy,Pipelines,Houston,http://www.targaresources.com,10,http://fortune.com/fortune500/targa-resources/
335,Hertz Global Holdings,HTZ,296,"$8,803 ",-7.10%,$327.00 ,,"$20,058 ","$1,662 ","37,000",Kathryn V. Marinello,"President, Chief Executive Officer & Director",Retailing,"Automotive Retailing, Services","Estero, Fla.",http://www.hertz.com,11,http://fortune.com/fortune500/hertz-global-holdings/
336,Calpine,,400,"$8,752 ",30.30%,($339.00),-468.50%,"$16,453 ",,"2,290",John B. Hill III,"President, Chief Executive Officer & Director",Energy,Energy,Houston,http://www.calpine.com,17,http://fortune.com/fortune500/calpine/
337,Mutual of Omaha Insurance,,342,"$8,732 ",10.60%,$862.60 ,141.90%,"$42,429 ",,"5,896",James T. Blackledge,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",Omaha,http://www.mutualofomaha.com,22,http://fortune.com/fortune500/mutual-of-omaha-insurance/
338,Crown Holdings,CCK,333,"$8,698 ",5.00%,$323.00 ,-34.90%,"$10,663 ","$6,816 ","24,342",Timothy J. Donahue,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers",Philadelphia,http://www.crowncork.com,24,http://fortune.com/fortune500/crown-holdings/
339,Peter Kiewit Sons’,,324,"$8,678 ",1.20%,$371.00 ,-6.30%,"$5,710 ",,"22,000",Bruce E. Grewcock,"President, Chief Executive Officer & Director",Engineering & Construction,"Engineering, Construction",Omaha,http://www.kiewit.com,19,http://fortune.com/fortune500/peter-kiewit-sons/
340,Dick’s Sporting Goods,DKS,340,"$8,591 ",8.40%,$323.40 ,12.50%,"$4,204 ","$3,765 ","30,300",Edward W. Stack,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Coraopolis, Pa.",http://www.dicks.com,9,http://fortune.com/fortune500/dicks-sporting-goods/
341,PulteGroup,PHM,353,"$8,573 ",11.80%,$447.20 ,-25.80%,"$9,687 ","$8,439 ","4,810",Ryan R. Marshall,"President, Chief Executive Officer & Director",Engineering & Construction,Homebuilders,Atlanta,http://www.pultegroupinc.com,16,http://fortune.com/fortune500/pultegroup/
342,Navistar International,NAV,337,"$8,570 ",5.70%,$30.00 ,,"$6,135 ","$3,451 ","11,400",Troy A. Clarke,"Chairman, President & Chief Executive Officer",Industrials,Construction and Farm Machinery,"Lisle, Ill.",http://www.navistar.com,22,http://fortune.com/fortune500/navistar-international/
343,Thrivent Financial for Lutherans,,316,"$8,528 ",-2.80%,$558.40 ,-5.00%,"$95,001 ",,"3,622",Bradford L. Hewitt,Chief Executive Officer & Director,Financials,"Insurance: Life, Health (Mutual)",Minneapolis,http://www.thrivent.com,24,http://fortune.com/fortune500/thrivent-financial-for-lutherans/
344,DCP Midstream,DCP,,"$8,462 ",465.30%,$229.00 ,-26.60%,"$13,878 ","$5,033 ","2,650",Wouter T. van Kempen,"Chairman, President & Chief Executive Officer",Energy,Pipelines,Denver,http://www.dcpmidstream.com,1,http://fortune.com/fortune500/dcp-midstream/
345,Air Products & Chemicals,APD,294,"$8,442 ",-11.40%,"$3,000.40 ",375.40%,"$18,467 ","$34,818 ","15,150",Seifi Ghasemi,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,"Allentown, Pa.",http://www.airproducts.com,24,http://fortune.com/fortune500/air-products-chemicals/
346,Veritiv,VRTV,331,"$8,365 ",0.50%,($13.30),-163.30%,"$2,708 ",$617 ,"8,900",Mary A. Laschinger,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Diversified,Atlanta,http://www.veritivcorp.com,3,http://fortune.com/fortune500/veritiv/
347,AGCO,AGCO,370,"$8,307 ",12.10%,$186.40 ,16.40%,"$7,972 ","$5,157 ","20,462",Martin H. Richenhagen,"Chairman, President & Chief Executive Officer",Industrials,Construction and Farm Machinery,"Duluth, Ga.",http://www.agcocorp.com,17,http://fortune.com/fortune500/agco/
348,Genworth Financial,GNW,329,"$8,295 ",-0.90%,$817.00 ,,"$105,297 ","$1,413 ","3,500",Thomas J. McInerney,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (stock)","Richmond, Va.",http://www.genworth.com,13,http://fortune.com/fortune500/genworth-financial/
349,Univar,UNVR,338,"$8,254 ",2.20%,$119.80 ,,"$5,733 ","$3,920 ","8,600",David C. Jukes,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Diversified,"Downers Grove, Ill.",http://www.univar.com,3,http://fortune.com/fortune500/univar/
350,News Corp.,NWSA,332,"$8,139 ",-2.20%,($738.00),-512.30%,"$14,552 ","$9,272 ","26,000",Robert J. Thomson,Chairman & Chief Executive Officer,Media,"Publishing, Printing",New York City,http://www.newscorp.com,4,http://fortune.com/fortune500/news-corp/
351,SpartanNash,SPTN,350,"$8,128 ",5.10%,($52.80),-193.00%,"$2,056 ",$620 ,"11,950",David M. Staples,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Food and Grocery,"Byron Center, Mich.",http://www.spartannash.com,8,http://fortune.com/fortune500/spartannash/
352,Westlake Chemical,WLK,507,"$8,041 ",58.40%,"$1,304.00 ",226.90%,"$12,076 ","$14,385 ","8,799",Albert Yuan Chao,"President, Chief Executive Officer & Director",Chemicals,Chemicals,Houston,http://www.westlake.com,1,http://fortune.com/fortune500/westlake-chemical/
353,Williams,WMB,367,"$8,031 ",7.10%,"$2,174.00 ",,"$46,352 ","$20,567 ","5,425",Alan S. Armstrong,"President, Chief Executive Officer & Director",Energy,Energy,"Tulsa, Okla.",http://www.williams.com,24,http://fortune.com/fortune500/williams/
354,Lam Research,LRCX,440,"$8,014 ",36.10%,"$1,697.80 ",85.70%,"$12,123 ","$33,105 ","9,400",Martin B. Anstice,Chairman & Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,"Fremont, Calif.",http://www.lamresearch.com,3,http://fortune.com/fortune500/lam-research/
355,Alaska Air Group,ALK,438,"$7,933 ",33.80%,"$1,034.00 ",27.00%,"$10,740 ","$7,646 ","23,156",Bradley D. Tilden,"Chairman, President & Chief Executive Officer",Transportation,Airlines,Seattle,http://www.alaskaair.com,5,http://fortune.com/fortune500/alaska-air-group/
356,Jones Lang LaSalle,JLL,391,"$7,932 ",16.60%,$254.20 ,-20.10%,"$8,015 ","$7,930 ","81,900",Christian Ulbrich,"President, Chief Executive Officer & Director",Financials,Real estate,Chicago,http://www.jll.com,4,http://fortune.com/fortune500/jones-lang-lasalle/
357,Anixter International,AXE,359,"$7,927 ",4.00%,$109.00 ,-9.50%,"$4,252 ","$2,522 ","8,900",Robert J. Eck,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Electronics and Office Equipment,"Glenview, Ill.",http://www.anixter.com,16,http://fortune.com/fortune500/anixter-international/
358,Campbell Soup,CPB,339,"$7,890 ",-0.90%,$887.00 ,57.50%,"$7,726 ","$13,021 ","18,000",Denise M. Morrison,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Camden, N.J.",http://www.campbellsoupcompany.com,24,http://fortune.com/fortune500/campbell-soup/
359,Interpublic Group,IPG,345,"$7,882 ",0.50%,$579.00 ,-4.80%,"$12,695 ","$8,854 ","50,200",Michael I. Roth,Chairman & Chief Executive Officer,Business Services,"Advertising, marketing",New York City,http://www.interpublic.com,21,http://fortune.com/fortune500/interpublic-group/
360,Dover,DOV,392,"$7,830 ",15.20%,$811.70 ,59.50%,"$10,658 ","$15,183 ","29,000",Richard J. Tobin,"President, Chief Executive Officer & Director",Industrials,Industrial Machinery,"Downers Grove, Ill.",http://www.dovercorporation.com,24,http://fortune.com/fortune500/dover/
361,Zimmer Biomet Holdings,ZBH,352,"$7,824 ",1.80%,"$1,813.80 ",492.90%,"$25,965 ","$22,151 ","18,200",Bryan C. Hanson,"President, Chief Executive Officer & Director",Health Care,Medical Products and Equipment,"Warsaw, Ind.",http://www.zimmerbiomet.com,3,http://fortune.com/fortune500/zimmer-biomet-holdings/
362,Dean Foods,DF,351,"$7,795 ",1.10%,$61.60 ,-48.60%,"$2,504 ",$787 ,"16,000",Ralph P. Scozzafava,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Food Consumer Products,Dallas,http://www.deanfoods.com,20,http://fortune.com/fortune500/dean-foods/
363,Foot Locker,FL,348,"$7,782 ",0.20%,$284.00 ,-57.20%,"$3,961 ","$5,379 ","32,175",Richard A. Johnson,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Apparel,New York City,http://www.footlocker-inc.com,24,http://fortune.com/fortune500/foot-locker/
364,Eversource Energy,ES,358,"$7,752 ",1.50%,$988.00 ,4.80%,"$36,220 ","$18,671 ","8,084",James J. Judge,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Springfield, Mass.",http://www.eversource.com,23,http://fortune.com/fortune500/eversource-energy/
365,Alliance Data Systems,ADS,378,"$7,719 ",8.10%,$788.70 ,52.90%,"$30,685 ","$11,806 ","20,000",Edward J. Heffernan,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Plano, Texas",http://www.alliancedata.com,4,http://fortune.com/fortune500/alliance-data-systems/
366,Fifth Third Bancorp,FITB,389,"$7,713 ",12.00%,"$2,194.00 ",40.30%,"$142,193 ","$21,812 ","18,125",Greg D. Carmichael,"Chairman, President & Chief Executive Officer",Financials,Commercial Banks,Cincinnati,http://www.53.com,19,http://fortune.com/fortune500/fifth-third-bancorp/
367,Quest Diagnostics,DGX,366,"$7,709 ",2.60%,$772.00 ,19.70%,"$10,503 ","$13,619 ","45,000",Stephen H. Rusckowski,"Chairman, President & Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,"Secaucus, N.J.",http://www.questdiagnostics.com,18,http://fortune.com/fortune500/quest-diagnostics/
368,EMCOR Group,EME,360,"$7,688 ",1.80%,$227.20 ,24.90%,"$3,966 ","$4,549 ","32,000",Anthony J. Guzzi,"President, Chief Executive Officer & Director",Engineering & Construction,"Engineering, Construction","Norwalk, Conn.",http://www.emcorgroup.com,18,http://fortune.com/fortune500/emcor-group/
369,W.R. Berkley,WRB,354,"$7,685 ",0.40%,$549.10 ,-8.80%,"$24,300 ","$8,836 ","7,722",W. Robert Berkley Jr.,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),"Greenwich, Conn.",http://www.wrberkley.com,15,http://fortune.com/fortune500/w-r-berkley/
370,WESCO International,WCC,373,"$7,679 ",4.70%,$163.50 ,60.90%,"$4,736 ","$2,920 ","9,100",John J. Engel,"Chairman, President & Chief Executive Officer",Wholesalers,Wholesalers: Diversified,Pittsburgh,http://www.wesco.com,20,http://fortune.com/fortune500/wesco-international/
371,Coty,COTY,558,"$7,650 ",75.90%,($422.20),-369.10%,"$22,548 ","$13,723 ","22,000",Camillo Pane,Chairman & Chief Executive Officer,Household Products,Household and Personal Products,New York City,http://www.coty.com,1,http://fortune.com/fortune500/coty/
372,WEC Energy Group,WEC,368,"$7,649 ",2.40%,"$1,203.70 ",28.20%,"$31,591 ","$19,784 ","8,129",Gale E. Klappa,Chairman & Chief Executive Officer,Energy,Utilities: Gas and Electric,Milwaukee,http://www.wecenergygroup.com,9,http://fortune.com/fortune500/wec-energy-group/
373,Masco,MAS,372,"$7,644 ",3.90%,$533.00 ,8.60%,"$5,488 ","$12,590 ","26,000",Keith J. Allman,"President, Chief Executive Officer & Director",Household Products,"Home Equipment, Furnishings","Livonia, Mich.",http://www.masco.com,24,http://fortune.com/fortune500/masco/
374,DXC Technology,DXC,,"$7,607 ",7.10%,($123.00),-149.00%,"$8,663 ","$28,720 ","60,000",J. Michael Lawrie,"Chairman, President & Chief Executive Officer",Technology,Information Technology Services,"Tysons, Va.",http://www.dxc.technology,1,http://fortune.com/fortune500/dxc-technology/
375,Auto-Owners Insurance,,398,"$7,604 ",12.20%,$645.70 ,-8.60%,"$23,694 ",,"5,227",Jeffrey S. Tagsold,Chief Executive Officer & Director,Financials,Insurance: Property and Casualty (Mutual),"Lansing, Mich.",http://www.auto-owners.com,16,http://fortune.com/fortune500/auto-owners-insurance/
376,Jones Financial (Edward Jones),,403,"$7,597 ",14.60%,$872.00 ,16.90%,"$17,176 ",,"45,000",James D. Weddle,"Chief Executive Officer & Managing Partner

",Financials,Securities,"Des Peres, Mo",www.iqvia.comwww.edwardjones.com,6,http://fortune.com/fortune500/jones-financial-edward-jones/
377,Liberty Media,LSXMA,491,"$7,594 ",43.90%,"$1,354.00 ",99.10%,"$41,996 ","$13,816 ","4,393",Gregory B. Maffei,"President, Chief Executive Officer & Director",Media,Entertainment,"Englewood, Colo.",http://www.libertymedia.com,2,http://fortune.com/fortune500/liberty-media/
378,Erie Insurance Group,,382,"$7,535 ",7.40%,$857.50 ,15.60%,"$20,670 ",,"5,260",Timothy G. NeCastro,Chief Executive Officer,Financials,Insurance: Property and Casualty (Mutual),"Erie, Pa.",http://www.erieinsurance.com,15,http://fortune.com/fortune500/erie-insurance-group/
379,Hershey,HSY,369,"$7,515 ",1.00%,$783.00 ,8.70%,"$5,554 ","$20,774 ","16,135",Michele G. Buck,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Hershey, Pa.",http://www.thehersheycompany.com,24,http://fortune.com/fortune500/hershey/
380,PPL,PPL,365,"$7,447 ",-0.90%,"$1,128.00 ",-40.70%,"$41,479 ","$19,635 ","12,512",William H. Spence,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Allentown, Pa.",http://www.pplweb.com,24,http://fortune.com/fortune500/ppl/
381,Huntington Ingalls Industries,HII,380,"$7,441 ",5.30%,$479.00 ,-16.40%,"$6,374 ","$11,539 ","38,000",C. Michael Petters,"President, Chief Executive Officer & Director",Aerospace & Defense,Aerospace and Defense,"Newport News, Va.",http://www.huntingtoningalls.com,6,http://fortune.com/fortune500/huntington-ingalls-industries/
382,Mosaic,MOS,377,"$7,409 ",3.40%,($107.20),-136.00%,"$18,633 ","$9,358 ","8,500",James C. O'Rourke,"President, Chief Executive Officer & Director",Chemicals,Chemicals,"Plymouth, Minn.",http://www.mosaicco.com,13,http://fortune.com/fortune500/mosaic/
383,J.M. Smucker,SJM,346,"$7,392 ",-5.40%,$592.30 ,-14.00%,"$15,640 ","$14,087 ","7,140",Mark T. Smucker,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Orrville, Ohio",http://www.jmsmucker.com,8,http://fortune.com/fortune500/j-m-smucker/
384,Delek US Holdings,DK,480,"$7,350 ",35.70%,$288.80 ,,"$5,935 ","$3,416 ","3,941",Ezra Uzi Yemin,"Chairman, President & Chief Executive Officer",Energy,Petroleum Refining,"Brentwood, Tenn.",http://www.delekus.com,4,http://fortune.com/fortune500/delek-us-holdings/
385,Newmont Mining,NEM,328,"$7,348 ",-12.30%,($98.00),,"$20,563 ","$20,853 ","12,569",Gary J. Goldberg,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production","Greenwood Village, Colo.",http://www.newmont.com,15,http://fortune.com/fortune500/newmont-mining/
386,Constellation Brands,STZ,408,"$7,332 ",12.00%,"$1,535.10 ",45.50%,"$18,602 ","$44,379 ","8,700",Robert S. Sands,Chairman & Chief Executive Officer,"Food, Beverages & Tobacco",Beverages,"Victor, N.Y.",http://www.cbrands.com,6,http://fortune.com/fortune500/constellation-brands/
387,Ryder System,R,394,"$7,330 ",8.00%,$790.60 ,201.20%,"$11,452 ","$3,867 ","36,100",Robert E. Sanchez,"Chairman, President & Chief Executive Officer",Transportation,"Trucking, Truck Leasing",Miami,http://www.ryder.com,24,http://fortune.com/fortune500/ryder-system/
388,National Oilwell Varco,NOV,375,"$7,304 ",0.70%,($237.00),,"$20,206 ","$13,993 ","31,605",Clay C. Williams,"Chairman, President & Chief Executive Officer",Energy,"Oil and Gas Equipment, Services",Houston,http://www.nov.com,13,http://fortune.com/fortune500/national-oilwell-varco/
