Fortune  Rank,Company Name,Ticker Symbol,Fortune Rank,Revenues,Revenues change,Profits,Profit Change,Assets,Market Value,Employee Count,CEO Name,CEO Title,Sector,Industry,HQ Location,Website URL,Years on Fortune List,Fortune URL
231,L Brands,LB,220,"$12,632 ",0.50%,$983.00 ,-15.10%,"$8,149 ","$10,655 ","59,200",Leslie H. Wexner,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Apparel,"Columbus, Ohio",http://www.lb.com,24,http://fortune.com/fortune500/l-brands/
232,DTE Energy,DTE,272,"$12,607 ",18.60%,"$1,134.00 ",30.60%,"$33,767 ","$18,760 ","10,200",Gerard M. Anderson,Chairman & Chief Executive Officer,Energy,Utilities: Gas and Electric,Detroit,http://www.dteenergy.com,24,http://fortune.com/fortune500/dte-energy/
233,Dominion Energy,D,238,"$12,586 ",7.20%,"$2,999.00 ",41.30%,"$76,585 ","$45,344 ","16,200",Thomas F. Farrell II,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Richmond, Va.q",www.dominionenergy.com,24,http://fortune.com/fortune500/dominion-energy/
234,Reinsurance Group of America,RGA,246,"$12,516 ",8.60%,"$1,822.20 ",159.80%,"$60,515 ","$9,930 ","2,640",Anna Manning,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (stock)","Chesterfield, Mo.",http://www.rgare.com,9,http://fortune.com/fortune500/reinsurance-group-of-america/
235,J.C. Penney,JCP,221,"$12,506 ",-0.30%,($116.00),-11700.00%,"$8,413 ",$943 ,"98,000",Jeffrey A. Davis/Joseph M. McFarland/Therace M. Risch,Chairman & Chief Executive Officer,Retailing,General Merchandisers,"Plano, Texas",http://www.jcpenney.com,24,http://fortune.com/fortune500/j-c-penney/
236,Mastercard,MA,267,"$12,497 ",16.00%,"$3,915.00 ",-3.50%,"$21,329 ","$184,161 ","13,400",Ajay Banga,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Purchase, N.Y.",http://www.mastercard.com,10,http://fortune.com/fortune500/mastercard/
237,BlackRock,BLK,255,"$12,491 ",12.00%,"$4,970.00 ",56.70%,"$220,217 ","$87,065 ","13,900",Laurence D. Fink,Chairman & Chief Executive Officer,Financials,Securities,New York City,http://www.blackrock.com,11,http://fortune.com/fortune500/blackrock/
238,Henry Schein,HSIC,243,"$12,462 ",7.70%,$406.30 ,-19.80%,"$7,811 ","$10,330 ","22,000",Stanley M. Bergman,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Health Care,"Melville, N.Y.",http://www.henryschein.com,15,http://fortune.com/fortune500/henry-schein/
239,Guardian Life Ins. Co. of America,,218,"$12,455 ",-3.60%,$455.30 ,72.50%,"$75,038 ",,"9,283",Deanna M. Mulligan,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (Mutual)",New York City,http://www.guardianlife.com,24,http://fortune.com/fortune500/guardian-life-ins-co-of-america/
240,Stryker,SYK,252,"$12,444 ",9.90%,"$1,020.00 ",-38.10%,"$22,197 ","$60,041 ","33,000",Kevin A. Lobo,Chairman & Chief Executive Officer,Health Care,Medical Products and Equipment,"Kalamazoo, Mich.",http://www.stryker.com,16,http://fortune.com/fortune500/stryker/
